nom_texte,Act no (OJ),Doc. no.,Interinstitutional number,Date,Council,Policy area,Legislative procedure,Voting rule,Action by the Council,Type of act,resultat_vote,pays_pour,pays_contre,pays_abstention,pays_non_participation_vote
REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL establishing an EU Talent Pool,,62/25,2023/0404 (COD),30/03/2026,"Council: 
4167","Policy area: 
Justice and Home Affairs","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of the legislative act","Type of act: 
Regulation",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'EE', 'EL', 'ES', 'FI', 'FR', 'HR', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],"['HU', 'NL']",['DK']
DIRECTIVE OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL harmonising certain aspects of insolvency law,,64/25,2022/0408 (COD),30/03/2026,"Council: 
4167","Policy area: 
Justice and Home Affairs","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of the legislative act","Type of act: 
Directive",Approved,"['BG', 'CY', 'DE', 'DK', 'EE', 'EL', 'FI', 'FR', 'HR', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],"['AT', 'BE', 'CZ', 'ES', 'HU']",[]
REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EU) 2021/947 as regards increased efficiency of the External Action Guarantee,,8/26,2025/0262 (COD),30/03/2026,"Council: 
4167","Policy area: 
Foreign affairs","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of the legislative act","Type of act: 
Regulation",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EL', 'ES', 'FI', 'FR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],[],[]
REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EU) 2019/1242 as regards the calculation of emission credits for heavy-duty vehicles for the reporting periods of the years 2025 to 2029,,12/26,2025/0423 (COD),30/03/2026,"Council: 
4167","Policy area: 
Environment","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of the legislative act","Type of act: 
Regulation",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EL', 'ES', 'FI', 'FR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],[],[]
DIRECTIVE OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Directive (EU) 2015/2302 to make the protection of travellers more effective and to simplify and clarify certain aspects of that Directive,,4/26,2023/0435(COD),30/03/2026,"Council: 
4167","Policy area: 
Internal market","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of the legislative act","Type of act: 
Directive",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EL', 'ES', 'FI', 'FR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],[],[]
REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL on cooperation among enforcement authorities responsible for the enforcement of Directive (EU) 2019/633 on unfair trading practices in business-to-business relationships in the agricultural and food supply chain (first reading),,57/25,2024/0318 (COD),05/03/2026,"Council: 
4159","Policy area: 
Agriculture","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of the legislative act","Type of act: 
Regulation",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EL', 'ES', 'FI', 'FR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],[],[]
REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EU) 2021/1119 as regards the setting of a Union intermediate climate target for 2040 (first reading),,5/26,2025/0524 (COD),05/03/2026,"Council: 
4159","Policy area: 
Environment","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of the legislative act","Type of act: 
Regulation",Approved,"['AT', 'BG', 'CY', 'DE', 'DK', 'EE', 'EL', 'ES', 'FI', 'FR', 'HR', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PT', 'RO', 'SE', 'SI']","['CZ', 'HU', 'PL', 'SK']",['BE'],[]
"Position of the Council at first reading with a view to the adoption ?of a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulation (EU) No 806/2014 as regards early intervention measures, conditions for resolution and funding of resolution action",,15389/25,2023/0111 (COD),05/03/2026,"Council: 
4159","Policy area: 
Economy","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of a Council's position (at first reading); Adoption of the statement of the Council's reasons","Type of act: 
Position",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EL', 'ES', 'FI', 'FR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],['EE'],[]
"Position of the Council at first reading with a view to the adoption of DIRECTIVE OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Directive 2014/49/EU as regards the scope of deposit protection, the use of deposit guarantee schemes funds, cross-border cooperation, and transparency",,15484/25,2023/0115 (COD),05/03/2026,"Council: 
4159","Policy area: 
Economy","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of a Council's position (at first reading); Adoption of the statement of the Council's reasons","Type of act: 
Position",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EL', 'ES', 'FI', 'FR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],['EE'],[]
"Position of the Council at first reading with a view to the adoption of a DIRECTIVE OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Directive 2014/59/EU as regards early intervention measures, conditions for resolution and funding of resolution action and Directive 2014/24/EU as regards valuation services in resolution",,15445/25,2023/0112 (COD),05/03/2026,"Council: 
4159","Policy area: 
Economy","Legislative procedure: 
Ordinary legislative procedure / Codecision","Voting rule: 
Qualified majority","Action by the Council: 
Adoption of a Council's position (at first reading); Adoption of the statement of the Council's reasons","Type of act: 
Position",Approved,"['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EL', 'ES', 'FI', 'FR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']",[],['EE'],[]
